timestamp,amount,transaction_hour,is_foreign,velocity_1h,new_device,account_age_days,avg_amount_last_30d,merchant_category,geo_distance,isFraud
87950,44.5,0,1,6.0,0,,5.0,mastercard,87.0,0
88004,88.95,0,1,9.0,0,,7.0,visa,87.0,0
88021,140.0,0,1,,0,,2.0,visa,87.0,0
88042,318.95,0,1,5.0,0,,1.0,visa,87.0,0
88046,77.821,0,0,,0,,1.0,visa,,0
88053,107.0,0,1,10.0,0,,2.0,mastercard,87.0,0
88054,117.0,0,1,327.0,0,,1.0,visa,87.0,0
88070,50.0,0,1,,0,,1.0,visa,87.0,0
88107,527.0,0,1,5.0,0,,2.0,visa,87.0,0
88120,59.0,0,1,,0,,1.0,visa,87.0,0
88131,108.5,0,1,,0,,202.0,visa,87.0,0
88147,21.5,0,1,4.0,0,,1.0,mastercard,87.0,0
88149,159.0,0,1,137.0,0,,1.0,mastercard,87.0,0
88162,75.0,0,1,,0,,2.0,visa,87.0,0
88169,100.0,0,1,,0,,1.0,visa,87.0,0
88174,25.0,0,1,,0,,1.0,visa,87.0,0
88178,42.95,0,1,0.0,0,,1.0,visa,87.0,0
88184,47.95,0,1,31.0,0,,1.0,visa,87.0,0
88208,100.0,0,1,,0,,1.0,visa,87.0,0
88229,5.075,0,0,,0,,1.0,visa,,0
88230,92.0,0,1,1.0,0,,2.0,visa,87.0,0
88258,226.0,0,1,113.0,0,,3.0,visa,87.0,0
88303,150.0,0,1,,0,,1.0,visa,87.0,0
88346,107.95,0,1,4.0,0,,1.0,mastercard,87.0,0
88380,1153.95,0,1,,0,,1.0,visa,87.0,0
88383,18.186,0,0,,0,109.0,1.0,mastercard,,0
88394,210.95,0,1,5.0,0,,202.0,visa,87.0,0
88404,11.782,0,0,,0,,1.0,visa,,0
88404,4.433,0,0,,0,7.0,1.0,visa,,0
88410,75.0,0,1,,0,,4.0,visa,87.0,0
88435,34.0,0,1,2.0,0,,1.0,mastercard,87.0,0
88440,200.0,0,1,,0,,2.0,visa,87.0,0
88471,11.782,0,0,,0,,1.0,visa,,0
88484,100.0,0,1,,0,,1.0,american express,87.0,0
88507,59.0,0,1,5.0,0,,1.0,visa,87.0,0
88517,50.0,0,1,,0,,1.0,mastercard,87.0,0
88538,80.0,0,1,36.0,0,,21.0,visa,87.0,0
88549,59.0,0,1,23.0,0,,1.0,visa,87.0,0
88554,58.95,0,1,112.0,0,,3.0,visa,87.0,0
88556,50.0,0,1,,0,,1.0,mastercard,87.0,0
88579,87.95,0,1,,0,,4.0,visa,87.0,0
88586,107.95,0,1,,0,,1.0,mastercard,87.0,0
88589,57.95,0,1,,0,,1.0,mastercard,87.0,0
88607,50.0,0,1,,0,,2.0,visa,87.0,0
88619,70.933,0,0,,0,,2.0,visa,,0
88628,444.61,0,1,8.0,0,,1.0,visa,87.0,0
88638,757.07,0,1,,0,,1.0,visa,87.0,0
88647,2594.95,0,1,,0,,2.0,mastercard,87.0,0
88657,117.0,0,1,30.0,0,,2.0,visa,87.0,0
88671,3000.0,0,1,9.0,0,,1.0,discover,87.0,0
88688,30.0,0,1,,0,,8.0,mastercard,87.0,0
88704,56.95,0,1,55.0,0,,131.0,visa,87.0,0
88725,100.0,0,1,,0,,1.0,mastercard,87.0,0
88735,129.299,0,0,,0,,1.0,visa,,0
88743,208.43,0,1,4.0,0,,5.0,mastercard,87.0,0
88755,200.0,0,1,,0,6.0,1.0,visa,87.0,0
88777,23.806,0,0,,0,,1.0,visa,,0
88778,100.0,0,1,,0,,3.0,visa,87.0,0
88803,200.0,0,1,,0,6.0,1.0,visa,87.0,0
88805,100.0,0,1,,0,,1.0,american express,87.0,0
88818,23.806,0,0,,0,,1.0,visa,,0
88819,25.95,0,1,,0,,4.0,visa,87.0,0
88842,30.0,0,1,,0,,1.0,visa,87.0,0
88849,43.95,0,1,,0,,3.0,visa,87.0,0
88880,117.0,0,1,,0,,1.0,visa,87.0,0
88897,49.0,0,1,,0,,16.0,visa,87.0,0
88907,587.82,0,1,9.0,0,,2.0,mastercard,87.0,0
88910,29.0,0,1,10.0,0,,4.0,mastercard,87.0,0
88912,35.95,0,1,3.0,0,,25.0,visa,87.0,0
88943,479.95,0,1,,0,,1.0,mastercard,87.0,0
88965,50.0,0,1,,0,,1.0,visa,87.0,0
88997,30.0,0,1,,0,,1.0,visa,87.0,0
88997,171.0,0,1,12.0,0,,2.0,visa,87.0,0
89072,92.95,0,1,0.0,0,,1.0,visa,87.0,0
89075,29.0,0,1,,0,,1.0,mastercard,87.0,0
89085,107.95,0,1,,0,,1.0,visa,87.0,0
89095,100.0,0,1,,0,,4.0,visa,87.0,0
89103,973.95,0,1,32.0,0,,1.0,visa,87.0,0
89133,34.0,0,1,,0,,1.0,visa,87.0,0
89134,39.0,0,1,801.0,0,,1.0,visa,87.0,0
89147,26.5,0,1,,0,,1.0,mastercard,87.0,0
89169,100.0,0,1,,0,,1.0,visa,87.0,0
89180,36.95,0,1,,0,,1.0,visa,87.0,0
89185,100.0,0,1,2355.0,0,,1.0,visa,87.0,0
89189,20.0,0,1,,0,,1.0,visa,87.0,0
89211,34.0,0,1,7.0,0,,1.0,visa,87.0,0
89225,159.95,0,1,16.0,0,,5.0,mastercard,87.0,0
89230,25.0,0,1,,0,,1.0,visa,87.0,0
89250,107.95,0,1,1111.0,0,,3.0,visa,87.0,0
89268,117.0,0,1,1.0,0,,1.0,visa,87.0,0
89283,39.0,0,1,,0,,2.0,mastercard,87.0,0
89341,306.47,0,1,,0,,1.0,visa,87.0,0
89372,445.0,0,1,11.0,0,,1.0,visa,87.0,0
89393,424.95,0,1,22.0,0,,2.0,visa,87.0,0
89404,83.95,0,1,,0,,3.0,visa,87.0,0
89437,171.0,0,1,6.0,0,,2.0,mastercard,87.0,0
89439,311.95,0,1,2.0,0,,1.0,visa,87.0,0
89444,200.0,0,1,,0,,1.0,visa,87.0,0
89466,112.99,0,1,1568.0,0,,2.0,visa,87.0,0
89483,359.91,0,1,,0,,2.0,mastercard,87.0,0
89513,117.0,0,1,83.0,0,,1.0,visa,87.0,0
89542,50.0,0,1,,0,,4.0,visa,87.0,0
89545,12.0,0,1,,0,174.0,2.0,visa,87.0,0
89561,57.399,0,0,,0,317.0,1.0,mastercard,,0
89565,32.325,0,0,,0,,1.0,mastercard,,0
89597,26.5,0,1,,0,,2.0,visa,87.0,0
89600,5.982,0,0,,0,73.0,1.0,mastercard,,0
89611,28.699,0,0,,0,,1.0,mastercard,,0
89624,1486.44,0,1,,0,,1.0,visa,87.0,0
89625,59.0,0,1,18.0,0,,1.0,visa,87.0,0
89633,8.641,0,0,,0,240.0,1.0,mastercard,,0
89663,66.0,0,1,,0,,1.0,mastercard,87.0,0
89663,15.0,0,1,,0,,1.0,visa,87.0,0
89665,19.455,0,0,,0,,2.0,visa,,0
89666,34.0,0,1,17.0,0,,2.0,visa,87.0,0
89699,2547.46,0,1,17.0,0,,1.0,visa,87.0,0
89719,47.95,0,1,,0,,3.0,visa,87.0,0
89760,445.0,0,1,,0,,2.0,visa,87.0,1
89785,47.95,0,1,6.0,0,,6.0,visa,87.0,0
89793,28.699,0,0,,0,,2.0,mastercard,,0
89793,39.0,0,1,30.0,0,,1.0,visa,87.0,0
89828,25.0,0,1,,0,,1.0,visa,87.0,0
89834,120.95,0,1,,0,,8.0,visa,87.0,0
89836,21.993,0,0,,0,4.0,2.0,visa,,0
89837,2948.95,0,1,18.0,0,,1.0,visa,87.0,0
89840,15.0,0,1,,0,,1.0,visa,87.0,0
89844,117.0,0,1,9.0,0,,1.0,visa,87.0,0
89867,499.95,0,1,27.0,0,,1.0,visa,87.0,0
89878,99.0,0,1,80.0,0,,3.0,mastercard,87.0,0
89886,209.95,0,1,10.0,0,,1.0,visa,87.0,0
89916,100.0,0,1,,0,,7.0,mastercard,87.0,0
89924,15.0,0,1,5.0,0,,1.0,mastercard,87.0,0
89930,117.0,0,1,90.0,0,,1.0,mastercard,87.0,0
89931,50.0,0,1,,0,,1.0,visa,87.0,0
89940,49.0,0,1,15.0,0,,1.0,visa,87.0,0
89941,68.5,0,1,,0,,1.0,mastercard,87.0,0
89942,590.4,0,1,,0,,1.0,visa,87.0,0
89948,54.0,0,1,0.0,0,,1.0,discover,87.0,0
89966,67.95,0,1,,0,,2.0,mastercard,87.0,0
89969,43.0,0,1,,0,,2.0,visa,87.0,0
89989,39.0,0,1,91.0,0,,2.0,mastercard,87.0,0
89990,1973.0,0,1,,0,,1.0,visa,87.0,0
90014,75.0,1,1,,0,,2.0,visa,87.0,0
90034,49.0,1,1,10.0,0,,2.0,mastercard,87.0,0
90084,107.95,1,1,14.0,0,,4.0,visa,87.0,0
90085,474.95,1,1,3.0,0,,2.0,visa,87.0,0
90098,25.95,1,1,2.0,0,,2.0,visa,87.0,0
90110,116.0,1,1,80.0,0,,3.0,mastercard,87.0,0
90111,150.5,1,1,,0,,1.0,visa,87.0,0
90147,50.0,1,1,,0,,5.0,visa,87.0,0
90149,30.0,1,1,,0,,1.0,visa,87.0,0
90156,200.0,1,1,6.0,0,,2.0,visa,87.0,0
90163,226.0,1,1,,0,,1.0,visa,87.0,0
90178,171.0,1,1,4.0,0,,1.0,visa,87.0,0
90193,37.098,1,0,,0,,0.0,visa,,1
90232,250.0,1,1,,0,,1.0,visa,87.0,0
90244,24.95,1,1,,0,,1.0,mastercard,87.0,0
90246,37.098,1,0,,0,,1.0,visa,,1
90294,15.0,1,1,,0,,2.0,visa,87.0,0
90295,37.098,1,0,,0,,2.0,visa,,1
90299,50.0,1,1,,0,,1.0,visa,87.0,0
90308,58.95,1,1,,0,,1.0,visa,87.0,0
90325,50.0,1,1,,0,,1.0,visa,87.0,0
90327,78.95,1,1,12.0,0,,1.0,visa,87.0,0
90332,289.95,1,1,12.0,0,,1.0,visa,87.0,0
90365,100.0,1,1,,0,,7.0,mastercard,87.0,0
90366,48.638,1,0,,0,240.0,1.0,mastercard,,0
90370,200.0,1,1,0.0,0,,9.0,mastercard,87.0,0
90392,54.5,1,1,38.0,0,,1.0,visa,87.0,0
90440,54.0,1,1,6.0,0,,1.0,visa,87.0,0
90441,108.95,1,1,51.0,0,,199.0,visa,87.0,0
90445,2038.95,1,1,1.0,0,,1.0,mastercard,87.0,0
90478,48.638,1,0,,0,240.0,1.0,mastercard,,0
90480,42.596,1,0,,0,,2.0,visa,,0
90487,34.5,1,1,10.0,0,,1.0,mastercard,87.0,0
90492,59.0,1,1,8.0,0,,1.0,visa,87.0,0
90504,55.829,1,0,,0,70.0,1.0,visa,,0
90515,385.78,1,1,0.0,0,,1.0,mastercard,87.0,0
90525,48.95,1,1,45.0,0,,1.0,mastercard,87.0,0
90581,50.0,1,1,,0,,1.0,visa,87.0,0
90581,48.578,1,0,,0,2.0,1.0,mastercard,,0
90593,29.0,1,1,,0,,2.0,visa,87.0,0
90608,30.95,1,1,,0,,10.0,visa,87.0,0
90610,25.0,1,1,405.0,0,,2.0,visa,87.0,0
90630,50.0,1,1,,0,,1.0,visa,87.0,0
90635,50.0,1,1,,0,,1.0,mastercard,87.0,0
90652,25.0,1,1,,0,,1.0,visa,87.0,0
90655,200.0,1,1,,0,,1.0,visa,87.0,0
90715,222.0,1,1,,0,,149.0,visa,87.0,0
90723,25.0,1,1,,0,,1.0,visa,87.0,0
90725,450.95,1,1,,0,,1.0,mastercard,87.0,0
90805,30.0,1,1,5.0,0,,6.0,mastercard,87.0,0
90807,120.95,1,1,,0,,8.0,visa,87.0,0
90808,59.0,1,1,2.0,0,,3.0,visa,87.0,0
90809,50.0,1,1,,0,,1.0,visa,87.0,0
90815,30.0,1,1,,0,,1.0,visa,87.0,0
90828,50.0,1,1,,0,,5.0,visa,87.0,0
90835,57.95,1,1,,0,,2.0,visa,87.0,0
90887,18.73,1,0,,0,0.0,1.0,visa,,0
90892,34.0,1,1,2.0,0,,1.0,mastercard,87.0,0
90946,72.99,1,1,4.0,0,,1.0,visa,87.0,0
90973,25.014,1,0,,0,7.0,1.0,mastercard,,0
90986,155.521,1,0,,0,,1.0,visa,,1
91011,107.95,1,1,0.0,0,,82.0,visa,87.0,0
91011,30.0,1,1,,0,,26.0,visa,87.0,0
91034,26.5,1,1,,0,,1.0,visa,87.0,0
91061,15.0,1,1,,0,,2.0,visa,87.0,0
91119,117.0,1,1,4.0,0,,2.0,visa,87.0,0
91124,59.0,1,1,9.0,0,,1.0,visa,87.0,0
91129,112.0,1,1,2.0,0,,3.0,mastercard,87.0,0
91145,160.5,1,1,,0,,1.0,visa,87.0,0
91160,200.0,1,1,,0,,1.0,visa,87.0,0
91168,107.95,1,1,184.0,0,,1.0,visa,87.0,0
91172,72.99,1,1,,0,,2.0,visa,87.0,0
91173,48.638,1,0,,0,,1.0,mastercard,,0
91188,20.905,1,0,,0,,1.0,visa,,0
91215,48.638,1,0,,0,,1.0,mastercard,,0
91220,1351.55,1,1,3.0,0,,1.0,visa,87.0,0
91244,554.0,1,1,2.0,0,,1.0,visa,87.0,0
91257,48.638,1,0,,0,,1.0,mastercard,,0
91323,20.0,1,1,,0,,1.0,visa,87.0,0
91330,159.95,1,1,,0,,7.0,visa,87.0,0
91333,25.95,1,1,3.0,0,,6.0,mastercard,87.0,0
91339,25.95,1,1,5.0,0,,2.0,visa,87.0,0
91339,105.0,1,1,,0,,1.0,visa,87.0,0
91343,50.0,1,1,,0,,1.0,american express,87.0,0
91346,25.0,1,1,,0,,2.0,mastercard,87.0,0
91353,83.95,1,1,1576.0,0,,1.0,visa,87.0,0
91359,54.0,1,1,0.0,0,,3.0,mastercard,87.0,0
91414,364.95,1,1,3.0,0,,1.0,visa,87.0,0
91422,19.576,1,0,,0,0.0,1.0,visa,,0
91432,335.0,1,1,2.0,0,,1.0,mastercard,87.0,0
91504,39.0,1,1,,0,,1.0,mastercard,87.0,0
91515,300.0,1,1,,0,,1.0,visa,87.0,0
91518,82.95,1,1,19.0,0,,2.0,visa,87.0,0
91544,108.5,1,0,,0,,1.0,visa,,0
91563,219.95,1,1,,0,,1.0,visa,87.0,0
91575,107.95,1,1,,0,,8.0,mastercard,87.0,0
91577,412.73,1,1,133.0,0,,1.0,visa,87.0,0
91598,354.95,1,1,222.0,0,,1.0,visa,87.0,0
91610,107.95,1,1,1.0,0,,1.0,mastercard,87.0,0
91614,125.0,1,1,,0,,1.0,visa,87.0,0
91684,16.857,1,0,,0,7.0,1.0,mastercard,,0
91691,160.5,1,1,,0,,5.0,mastercard,87.0,0
91706,25.0,1,1,,0,,1.0,visa,87.0,0
91724,105.95,1,1,9.0,0,,3.0,visa,87.0,0
91758,100.0,1,1,,0,,1.0,visa,87.0,0
91760,30.0,1,1,,0,,1.0,visa,87.0,0
91790,524.0,1,1,0.0,0,,2.0,visa,87.0,0
91804,100.0,1,1,,0,,1.0,visa,87.0,0
91824,100.0,1,1,,0,,1.0,visa,87.0,0
91875,50.0,1,1,,0,,1.0,visa,87.0,0
91884,100.0,1,1,,0,,1.0,visa,87.0,0
91890,33.25,1,1,23.0,0,,1.0,mastercard,87.0,0
91894,157.95,1,1,,0,,2.0,mastercard,87.0,0
91927,648.95,1,1,525.0,0,,1.0,visa,87.0,0
91928,335.0,1,1,5.0,0,,1.0,mastercard,87.0,0
91955,57.95,1,1,3.0,0,,1.0,mastercard,87.0,0
91977,117.0,1,1,0.0,0,,1.0,mastercard,87.0,0
92000,711.93,1,1,,0,,1.0,visa,87.0,0
92004,107.95,1,1,2.0,0,,4.0,visa,87.0,0
92010,60.0,1,1,239.0,0,,5.0,visa,87.0,0
92010,59.0,1,1,2.0,0,,1.0,visa,87.0,0
92016,59.0,1,1,68.0,0,,1.0,visa,87.0,0
92038,26.5,1,1,,0,,1.0,visa,87.0,0
92085,35.95,1,1,352.0,0,,2.0,mastercard,87.0,0
92117,26.947,1,0,,0,,0.0,visa,,0
92119,500.0,1,1,,0,,1.0,visa,87.0,0
92127,58.0,1,1,,0,,1.0,visa,87.0,0
92158,500.0,1,1,,0,,1.0,american express,87.0,0
92174,209.95,1,1,8.0,0,,1.0,visa,87.0,0
92185,25.0,1,1,,0,,3.0,visa,87.0,0
92187,59.0,1,1,10.0,0,,4.0,visa,87.0,0
92213,107.95,1,1,,0,,8.0,visa,87.0,0
92221,226.0,1,1,0.0,0,,1.0,discover,87.0,0
92222,500.0,1,1,,0,,1.0,american express,87.0,0
92268,462.95,1,1,4.0,0,,4.0,mastercard,87.0,0
92285,29.5,1,1,6.0,0,,1.0,visa,87.0,0
92291,161.0,1,1,29.0,0,,1.0,mastercard,87.0,0
92316,103.95,1,1,360.0,0,,1.0,mastercard,87.0,0
92320,20.0,1,1,,0,99.0,10.0,mastercard,87.0,0
92350,225.0,1,1,,0,,7.0,mastercard,87.0,1
92363,7.372,1,0,,0,,1.0,mastercard,,0
92398,30.95,1,1,2.0,0,,205.0,mastercard,87.0,0
92406,160.5,1,1,,0,,1.0,visa,87.0,0
92434,44.0,1,1,6.0,0,,3.0,visa,87.0,0
92463,70.0,1,1,,0,,2.0,visa,87.0,0
92485,36.95,1,1,,0,,1.0,visa,87.0,0
92501,500.0,1,1,,0,,1.0,american express,87.0,0
92504,25.95,1,1,,0,,3.0,visa,87.0,0
92509,30.0,1,1,,0,,1.0,visa,87.0,0
92549,159.95,1,1,9.0,0,,4.0,visa,87.0,0
92571,29.0,1,1,3.0,0,,1.0,mastercard,87.0,0
92592,209.95,1,1,23.0,0,,1.0,visa,87.0,0
92594,28.639,1,0,,0,,1.0,visa,,0
92606,24.5,1,1,118.0,0,,1.0,mastercard,87.0,0
92615,27.5,1,1,1.0,0,,2.0,visa,87.0,0
92616,40.0,1,1,2381.0,0,,1.0,mastercard,87.0,0
92627,57.822,1,0,,0,0.0,1.0,visa,,0
92636,15.95,1,1,,0,,205.0,mastercard,87.0,0
92639,43.019,1,0,,0,,2.0,visa,,0
92653,40.0,1,1,,0,,1.0,visa,87.0,0
92667,22.97,1,1,,0,,3.0,visa,87.0,0
92674,150.0,1,1,,0,,1.0,mastercard,87.0,0
92701,20.0,1,1,,0,,1.0,visa,87.0,0
92725,107.95,1,1,10.0,0,,1.0,visa,87.0,0
92742,50.0,1,1,185.0,0,,2.0,visa,87.0,0
92753,59.0,1,1,372.0,0,,1.0,visa,87.0,0
92760,344.95,1,1,48.0,0,,1.0,visa,87.0,0
92769,59.0,1,1,12.0,0,,1.0,mastercard,87.0,0
92858,240.95,1,1,1415.0,0,,1.0,visa,87.0,0
92892,50.0,1,1,11.0,0,,5.0,visa,87.0,0
92896,15.468,1,0,,0,,1.0,mastercard,,0
92897,54.29,1,1,22.0,0,,2.0,visa,87.0,0
92919,129.95,1,1,2.0,0,,151.0,mastercard,87.0,0
92932,250.0,1,1,,0,,1.0,visa,87.0,0
92938,49.0,1,1,39.0,0,,1.0,visa,87.0,0
92984,311.95,1,1,13.0,0,,4.0,visa,87.0,0
92991,50.0,1,1,,0,,1.0,visa,87.0,0
92999,90.57,1,0,,0,,1.0,mastercard,,1
93009,50.0,1,1,,0,,1.0,visa,87.0,0
93012,500.0,1,1,,0,,1.0,visa,87.0,0
93049,50.0,1,1,,0,,1.0,visa,87.0,0
93055,210.95,1,1,,0,,1.0,visa,87.0,0
93082,54.5,1,1,,0,,1.0,visa,87.0,0
93090,40.0,1,1,,0,,1.0,mastercard,87.0,0
93102,35.044,1,0,,0,7.0,2.0,mastercard,,0
93141,47.95,1,1,,0,,15.0,visa,87.0,0
93155,34.95,1,1,,0,,1.0,visa,87.0,0
93194,60.0,1,1,1.0,0,,157.0,visa,87.0,0
93218,35.0,1,1,,0,,1.0,visa,87.0,0
93270,315.0,1,1,5.0,0,,1.0,visa,87.0,0
93316,49.0,1,1,5.0,0,,1.0,mastercard,87.0,0
93331,25.0,1,1,,0,,2.0,mastercard,87.0,0
93339,200.0,1,1,,0,,103.0,visa,87.0,0
93358,107.95,1,1,2.0,0,,4.0,visa,87.0,0
93359,39.0,1,1,10.0,0,,1.0,visa,87.0,0
93436,29.95,1,1,40.0,0,,1.0,visa,87.0,0
93441,1472.47,1,1,,0,,1.0,visa,87.0,0
93447,30.0,1,1,,0,,1.0,mastercard,87.0,0
93514,226.0,1,1,0.0,0,,2.0,visa,87.0,0
93525,100.0,1,1,,0,,1.0,mastercard,87.0,0
93530,222.48,1,1,,0,,1.0,mastercard,87.0,0
93654,7.493,2,0,,0,425.0,1.0,visa,,0
93654,53.95,2,1,30.0,0,,15.0,mastercard,87.0,0
93661,164.95,2,1,6.0,0,,1.0,mastercard,87.0,0
93669,57.95,2,1,,0,,105.0,visa,87.0,0
93676,100.0,2,1,,0,,1.0,american express,87.0,0
93677,50.0,2,1,,0,,2.0,visa,87.0,0
93680,25.0,2,1,,0,,1.0,visa,87.0,0
93694,100.0,2,1,17.0,0,,1.0,visa,87.0,0
93706,100.0,2,1,,0,,1.0,visa,87.0,0
93706,12.326,2,0,,0,,1.0,visa,,0
93729,66.885,2,0,,0,,3.0,mastercard,,0
93803,100.0,2,1,,0,,2.0,mastercard,87.0,0
93809,107.95,2,1,2.0,0,,4.0,visa,87.0,0
93811,3162.95,2,1,9.0,0,,1.0,mastercard,87.0,0
93820,32.325,2,0,,0,,2.0,visa,,0
93843,2267.47,2,1,4.0,0,,1.0,visa,87.0,0
93850,30.0,2,1,,0,,189.0,visa,87.0,0
93854,50.0,2,1,,0,21.0,1.0,visa,87.0,0
93861,59.0,2,1,214.0,0,,1.0,visa,87.0,0
93870,24.0,2,1,1223.0,0,,1.0,visa,87.0,0
93882,200.0,2,1,,0,,1.0,visa,87.0,0
93894,15.0,2,1,9.0,0,,1.0,visa,87.0,0
93931,59.0,2,1,21.0,0,,4.0,discover,87.0,0
93960,68.95,2,1,,0,,8.0,visa,87.0,0
94009,30.0,2,1,13.0,0,,1.0,visa,87.0,0
94026,59.0,2,1,,0,,2.0,visa,87.0,0
94036,150.0,2,1,,0,,1.0,visa,87.0,0
94038,7.251,2,0,,0,,3.0,mastercard,,0
94049,50.0,2,1,,0,,1.0,visa,87.0,0
94057,3162.95,2,1,9.0,0,,1.0,mastercard,87.0,0
94065,43.97,2,1,8.0,0,,2.0,visa,87.0,0
94079,88.0,2,1,,0,,2.0,visa,87.0,0
94083,7.0,2,1,,0,2527.0,5.0,visa,87.0,0
94085,150.0,2,1,,0,,1.0,visa,87.0,0
94125,100.0,2,1,,0,,1.0,mastercard,87.0,0
94174,146.0,2,1,3.0,0,,1.0,visa,87.0,0
94178,16.313,2,0,,0,,1.0,visa,,0
94196,50.0,2,1,,0,,1.0,visa,87.0,0
94209,75.0,2,1,,0,,1.0,visa,87.0,0
